"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"1N914","ON Semiconductor","1N914FS-ND","","","Bulk","Active","1","0.10000","$0.10","50098","17 Weeks","DIODE GEN PURP 100V 200MA DO35","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"SDS-50J","CUI Inc.","CP-2350-ND","","","Tray","Active","1","1.96000","$1.96","24520","14 Weeks","CONN RCPT FMALE DIN 5POS SOLDER","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"61300821121","Wurth Electronics Inc.","732-5296-ND","","","Bag","Active","12","0.55700","$6.68","4368","14 Weeks","CONN HEADER VERT 8POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"61300211121","Wurth Electronics Inc.","732-5315-ND","","","Bag","Active","1","0.13000","$0.13","150130","14 Weeks","CONN HEADER VERT 2POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"OSTTA020161","On Shore Technology Inc.","ED2561-ND","","","Bulk","Active","1","0.69000","$0.69","16564","12 Weeks","TERM BLK 2POS SIDE ENTRY 5MM PCB","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"61303621121","Wurth Electronics Inc.","732-5309-ND","","","Bag","Active","1","1.72000","$1.72","999","14 Weeks","CONN HEADER VERT 36POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"61300811121","Wurth Electronics Inc.","732-5321-ND","","","Bag","Active","5","0.37000","$1.85","16954","14 Weeks","CONN HEADER VERT 8POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"61301011121","Wurth Electronics Inc.","732-2670-ND","","","Bag","Active","1","0.89000","$0.89","2109","14 Weeks","CONN HEADER VERT 10POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"CFM14JT220R","Stackpole Electronics Inc","S220QCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","32976","15 Weeks","RES 220 OHM 1/4W 5% CF MINI","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"CFM14JT4K70","Stackpole Electronics Inc","S4.7KQCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","65656","15 Weeks","RES 4.7K OHM 1/4W 5% CF MINI","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"6N138","Lite-On Inc.","160-1795-ND","","","Tube","Active","1","0.81000","$0.81","3824","10 Weeks","OPTOISO 5KV DARL W/BASE 8DIP","RoHS Compliant","Lead free","Not Available",""
"A 08-LC-TT","Assmann WSW Components","AE9986-ND","","","Tube","Active","1","0.18000","$0.18","98790","20 Weeks","CONN IC DIP SOCKET 8POS TIN","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"QPC02SXGN-RC","Sullins Connector Solutions","S9337-ND","","","Bag","Active","1","0.10000","$0.10","553226","5 Weeks","CONN JUMPER SHORTING .100"" GOLD","RoHS Compliant","Lead free","REACH Unaffected",""